year,change_in_index,total_annual_return_including_dividends,value_of_1_00_invested_on_1970_01_01,x5_year_annualized_return,x10_year_annualized_return,x15_year_annualized_return,x20_year_annualized_return,x25_year_annualized_return
1970,0.001,0.0401,1.04,NA,NA,NA,NA,NA
1971,0.1079,0.1431,1.19,NA,NA,NA,NA,NA
1972,0.1562,0.1898,1.41,NA,NA,NA,NA,NA
1973,-0.17370000000000002,-0.1466,1.21,NA,NA,NA,NA,NA
1974,-0.29719999999999996,-0.2647,0.89,-0.0235,NA,NA,NA,NA
1975,0.3155,0.37200000000000005,1.22,0.0321,NA,NA,NA,NA
1976,0.19149999999999998,0.2384,1.51,0.0487,NA,NA,NA,NA
1977,-0.115,-0.0718,1.4,-0.0021,NA,NA,NA,NA
1978,0.0106,0.06559999999999999,1.49,0.0432,NA,NA,NA,NA
1979,0.1231,0.1844,1.77,0.1476,0.058600000000000006,NA,NA,NA
1980,0.2577,0.325,2.34,0.1396,0.08449999999999999,NA,NA,NA
1981,-0.0973,-0.0492,2.23,0.081,0.0647,NA,NA,NA
1982,0.1476,0.2155,2.71,0.1409,0.067,NA,NA,NA
1983,0.1727,0.2256,3.32,0.1732,0.1063,NA,NA,NA
1984,0.013999999999999999,0.06269999999999999,3.52,0.1481,0.1478,0.0876,NA,NA
1985,0.2633,0.3173,4.64,0.1467,0.1432,0.10490000000000001,NA,NA
1986,0.1462,0.1867,5.51,0.19870000000000002,0.1383,0.1076,NA,NA
1987,0.0203,0.0525,5.8,0.16469999999999999,0.1527,0.0986,NA,NA
1988,0.124,0.1661,6.76,0.15310000000000001,0.1631,0.1217,NA,NA
1989,0.2725,0.3169,8.9,0.20370000000000002,0.17550000000000002,0.1661,0.1155,NA
1990,-0.06559999999999999,-0.031,8.63,0.132,0.1393,0.1394,0.1116,NA
1991,0.2631,0.30469999999999997,11.26,0.1536,0.1759,0.1434,0.11900000000000001,NA
1992,0.0446,0.0762,12.11,0.1588,0.1617,0.1547,0.1134,NA
1993,0.0706,0.1008,13.33,0.14550000000000002,0.1493,0.1572,0.1276,NA
1994,-0.0154,0.0132,13.51,0.087,0.1438,0.1452,0.1458,0.10980000000000001
1995,0.3411,0.37579999999999997,18.59,0.1659,0.14880000000000002,0.1481,0.146,0.1222
1996,0.2026,0.2296,22.86,0.1522,0.15289999999999998,0.168,0.1456,0.1255
1997,0.31010000000000004,0.3336,30.48,0.2027,0.1805,0.1752,0.16649999999999998,0.1307
1998,0.2667,0.2858,39.19,0.24059999999999998,0.19210000000000002,0.179,0.1775,0.1494
1999,0.1953,0.2104,47.44,0.28559999999999997,0.1821,0.1893,0.1788,0.1725
2000,-0.1014,-0.091,43.12,0.1833,0.1746,0.1602,0.1568,0.1534
2001,-0.1304,-0.1189,37.99,0.107,0.1294,0.1374,0.1524,0.1378
2002,-0.23370000000000002,-0.221,29.6,-0.0059,0.0934,0.1148,0.12710000000000002,0.1298
2003,0.2638,0.2868,38.09,-0.005699999999999999,0.1107,0.1222,0.1298,0.1384
2004,0.08990000000000001,0.10880000000000001,42.23,-0.023,0.1207,0.1094,0.1322,0.1354
2005,0.03,0.049100000000000005,44.3,0.0054,0.0907,0.1152,0.11939999999999999,0.12480000000000001
2006,0.1362,0.15789999999999998,51.3,0.061900000000000004,0.0842,0.10640000000000001,0.11800000000000001,0.13369999999999999
2007,0.0353,0.054900000000000004,54.12,0.1283,0.0591,0.10490000000000001,0.1182,0.1273
2008,-0.3849,-0.37,34.09,-0.0219,-0.0138,0.0646,0.0843,0.0977
2009,0.2345,0.2646,43.11,0.0042,-0.0095,0.08039999999999999,0.0821,0.1054
2010,0.1278,0.1506,49.61,0.0229,0.0141,0.0676,0.09140000000000001,0.09939999999999999
2011,-0,0.021099999999999997,50.65,-0.0025,0.0292,0.0545,0.0781,0.0928
2012,0.1341,0.16,58.76,0.0166,0.071,0.0447,0.08220000000000001,0.0971
2013,0.29600000000000004,0.3239,77.79,0.1794,0.07400000000000001,0.046799999999999994,0.0922,0.1026
2014,0.1139,0.1369,88.44,0.1545,0.0767,0.0424,0.09849999999999999,0.0962
2015,-0.0073,0.0138,89.66,0.1257,0.073,0.05,0.0819,0.09820000000000001
2016,0.09539999999999998,0.11960000000000001,100.38,0.1466,0.0694,0.0669,0.0768,0.0915
2017,0.1942,0.2183,122.3,0.15789999999999998,0.0849,0.0992,0.0719,0.0969
2018,-0.0623,-0.0443,116.88,0.0848,0.1311,0.0776,0.056100000000000004,0.0907
